domain,size,members,mean_acc,mean_rho,n_eff,evidence,plurality_acc,n_items,strict_acc,n_items_strict
science,4,bytedance_seed+gemini_pro+kimi_k2+qwen_3,0.8762737081207366,0.5230642405459915,1.5569092837262213,6.468695375552974,0.9,250,0.9121338912133892,239
science,4,bytedance_seed+glm_46+gpt5_mini+kimi_k2,0.8964367777629054,0.5342776419334074,1.5367870754786261,6.693430122932907,0.8966666666666666,250,0.9428571428571428,140
science,4,bytedance_seed+glm_46+gpt5_mini+qwen_3,0.8966331474844019,0.6186429471578055,1.4005951205480105,6.103215150045172,0.9023333333333332,250,0.9375,140
science,4,bytedance_seed+glm_46+kimi_k2+qwen_3,0.8936075596559095,0.5895747200700391,1.4447087425626544,6.248880725651619,0.903,250,0.9395424836601307,153
science,4,bytedance_seed+gpt5_mini+kimi_k2+qwen_3,0.9066451940645117,0.5876781757358029,1.4476836827814776,6.471968944295354,0.9086666666666666,250,0.9296875,192
science,4,claude_sonnet+deepseek_v4+gemini_pro+glm_46,0.863813101869845,0.4558786606263663,1.6894488978096027,6.833065290679668,0.882,250,0.9429530201342282,149
science,4,claude_sonnet+deepseek_v4+gemini_pro+gpt5_mini,0.8768507362784471,0.45715896987063154,1.6867126067251577,7.01700142124782,0.8886666666666667,250,0.9475138121546961,181
science,4,claude_sonnet+deepseek_v4+gemini_pro+kimi_k2,0.8738251484499547,0.4368807458433095,1.7311204370071547,7.15374479214512,0.896,250,0.9315068493150684,219
science,4,claude_sonnet+deepseek_v4+gemini_pro+qwen_3,0.8740215181714512,0.5229805889919227,1.5570613750069215,6.437231879585204,0.894,250,0.9292237442922374,219
science,4,claude_sonnet+deepseek_v4+glm_46+gpt5_mini,0.89418458781362,0.5106545191163447,1.5798015687824511,6.842816692262816,0.88,250,0.9528985507246377,138
science,4,claude_sonnet+deepseek_v4+glm_46+kimi_k2,0.8911589999851276,0.5057652163210146,1.5890068382105738,6.832505891807251,0.8873333333333333,250,0.9362416107382551,149
science,4,claude_sonnet+deepseek_v4+glm_46+qwen_3,0.8913553697066241,0.5697323108292898,1.4764522844512376,6.351528652563349,0.8873333333333333,250,0.94,150
science,4,claude_sonnet+deepseek_v4+gpt5_mini+kimi_k2,0.9041966343937298,0.4975690472188967,1.604681084734864,7.127951037354719,0.898,250,0.9505494505494505,182
science,4,claude_sonnet+deepseek_v4+gpt5_mini+qwen_3,0.9043930041152263,0.5911653817116073,1.4422230249054688,6.409588986128234,0.8913333333333334,250,0.945054945054945,182
science,4,claude_sonnet+deepseek_v4+kimi_k2+qwen_3,0.9013674162867339,0.5493962494365313,1.5104663527300692,6.660757653649227,0.898,250,0.9360730593607306,219
science,4,claude_sonnet+gemini_pro+glm_46+gpt5_mini,0.866313101869845,0.4575978284862181,1.685776711927718,6.854318355489692,0.862,250,0.9424460431654677,139
science,4,claude_sonnet+gemini_pro+glm_46+kimi_k2,0.8632875140413526,0.46881729931152316,1.6621981945424111,6.715434112649763,0.8893333333333333,250,0.9276315789473685,152
science,4,claude_sonnet+gemini_pro+glm_46+qwen_3,0.8634838837628491,0.5218713787217434,1.559080901377756,6.301426358072382,0.882,250,0.9281045751633987,153
science,4,claude_sonnet+gemini_pro+gpt5_mini+kimi_k2,0.8763251484499547,0.4302036701315766,1.7462589596610294,7.2562400124465425,0.8953333333333332,250,0.9421052631578948,190
science,4,claude_sonnet+gemini_pro+gpt5_mini+qwen_3,0.8765215181714512,0.5128869895262321,1.5756337886423069,6.55009704451014,0.8883333333333333,250,0.9276315789473685,190
science,4,claude_sonnet+gemini_pro+kimi_k2+qwen_3,0.8734959303429588,0.4872266308717916,1.6249066387548303,6.709976518736863,0.8963333333333332,250,0.9208860759493671,237
science,4,claude_sonnet+glm_46+gpt5_mini+kimi_k2,0.8936589999851277,0.5157548464508258,1.570311971216312,6.793009315146896,0.8833333333333333,250,0.9392857142857143,140
science,4,claude_sonnet+glm_46+gpt5_mini+qwen_3,0.8938553697066242,0.5763054172051433,1.4657833481082938,6.3438604349464685,0.8793333333333333,250,0.9392857142857143,140
science,4,claude_sonnet+glm_46+kimi_k2+qwen_3,0.8908297818781318,0.5660339797826944,1.4825236740189596,6.369617965789861,0.8926666666666666,250,0.9281045751633987,153
science,4,claude_sonnet+gpt5_mini+kimi_k2+qwen_3,0.9038674162867338,0.5475731122408002,1.5135924365547457,6.717594082581559,0.9026666666666666,250,0.93717277486911,191
science,4,deepseek_v4+gemini_pro+glm_46+gpt5_mini,0.8707575463142894,0.4807362535991251,1.6378616210900863,6.723254936460462,0.8606666666666667,250,0.9562043795620438,137
science,4,deepseek_v4+gemini_pro+glm_46+kimi_k2,0.867731958485797,0.4479947883813115,1.706496024240493,6.959563417168941,0.882,250,0.9425675675675675,148
science,4,deepseek_v4+gemini_pro+glm_46+qwen_3,0.8679283282072935,0.5409339105738217,1.525086685593507,6.222336861674504,0.8833333333333333,250,0.9362416107382551,149
science,4,deepseek_v4+gemini_pro+gpt5_mini+kimi_k2,0.8807695928943992,0.44150465216074114,1.7207898403214381,7.222090989011013,0.894,250,0.9478021978021978,182
science,4,deepseek_v4+gemini_pro+gpt5_mini+qwen_3,0.8809659626158957,0.5640730143376865,1.4857632072624027,6.238473199763941,0.8913333333333334,250,0.9368131868131868,182
science,4,deepseek_v4+gemini_pro+kimi_k2+qwen_3,0.8779403747874033,0.4944517196401273,1.61072409865811,6.717192402909592,0.8966666666666667,250,0.9204545454545454,220
science,4,deepseek_v4+glm_46+gpt5_mini+kimi_k2,0.898103444429572,0.5144433789229715,1.5727411641029274,6.878464785074031,0.876,250,0.9528985507246377,138
science,4,deepseek_v4+glm_46+gpt5_mini+qwen_3,0.8982998141510685,0.614878992459579,1.4061548210928136,6.152910706009155,0.8793333333333334,250,0.9528985507246377,138
science,4,deepseek_v4+glm_46+kimi_k2+qwen_3,0.8952742263225761,0.5606466189940117,1.491457755693734,6.477415041189943,0.882,250,0.9429530201342282,149
science,4,deepseek_v4+gpt5_mini+kimi_k2+qwen_3,0.9083118607311783,0.5743092444114934,1.4690070364991015,6.596457589352208,0.896,250,0.9398907103825137,183
science,4,gemini_pro+glm_46+gpt5_mini+kimi_k2,0.8702319584857969,0.4724701119039252,1.6546632323478716,6.784509441640256,0.8733333333333333,250,0.9460431654676259,139
science,4,gemini_pro+glm_46+gpt5_mini+qwen_3,0.8704283282072934,0.5619927103424777,1.4892154011953669,6.108725567849603,0.8656666666666666,250,0.9334532374100719,139
science,4,gemini_pro+glm_46+kimi_k2+qwen_3,0.867402740378801,0.5238691104975456,1.5554474242684175,6.339088409174628,0.8936666666666666,250,0.9325657894736842,152
science,4,gemini_pro+gpt5_mini+kimi_k2+qwen_3,0.8804403747874032,0.5071142758371987,1.5864562154555333,6.6533301811757655,0.9013333333333332,250,0.9319371727748691,191
science,4,glm_46+gpt5_mini+kimi_k2+qwen_3,0.8977742263225762,0.589975881032627,1.4440810430435682,6.310575472204398,0.8866666666666666,250,0.9464285714285714,140
science,5,bytedance_seed+claude_sonnet+deepseek_v4+gemini_pro+glm_46,0.871050481495876,0.48589095981098407,1.6986212200800326,6.977092627463988,0.9026666666666666,250,0.9463087248322147,149
science,5,bytedance_seed+claude_sonnet+deepseek_v4+gemini_pro+gpt5_mini,0.8814805890227577,0.49008789596280644,1.6889885739501669,7.100087078497181,0.9073333333333332,250,0.9502762430939227,181
